type,stem,answer,explanation,difficulty,option_A,option_B,option_C,option_D,option_E
single,"E 公司是一个原创网络小说的发布和交流平台,基于阿里云平台建设（使用了云服务器 ECS 和 内容分发网络 CDN 的组合），上线 3 年来积累了大量的原创作品，访问量每季度 增长 50%0 两天前 有同事发现来自某一段 IP 的爬虫每天晚上自动来抓取平台里的原创 内容,并在多个社区里发布，造成 作者权益的损害。为此管理员果断在 ECS 的安全组里屏 蔽了那段 IP,但是问题并没有解决。请你为管 理员提供一个可行的方案。",D,"在 ECS 安全组屏蔽了那段 IP 是不奏效的,说明对方访问的还是 CDN 的资源，所 以需要在 CDN 中屏蔽这段 IP。题目中指明了固定的这段 IP,所以不需要用到 refer 黑名 单的功能。",1,启用阿里云 CDN 的 Refer 白名单功能,开启云服务器 ECS 内部的防火墙,启用阿里云 CDN 的 Refer 黑名单功能,启用阿里云 CDN 的 IP 黑名单功能,
multiple,"一个日访问量超过 10 万 PV 的小型门户网站想迁到阿里云上,主要提供文字和图片 类信息服务， 已经实现了动静分离,目标是满足全中国网民的快速访问,2 年内日 PV 超过 100 万。选择阿里云的 产品组合起来可以满足这个业务需求。","A,B,C,D",题目中需要将访问量超过 10 万 PV 的小型门户网站想迁到阿里云上，主要提供文 字和图片类 信息服务。已经实现了动静分离，目标是满足全中国网民的快速访问。1.需要 ECS 来搭建和运行网站 服务;2.需要 RDS 来存储门户网站的用户数据。3.需要对象存 储 OSS 来实现图片等信息的存储。4.需 要内容访问 CDN 来满足全中国网民的快速访 问。,1,云服务器 ECS,对像存储 OSS,内容分发网络 CDN,云数据库 RDS,媒体转码(Media Transcoding)
single,某视频手机应用，日均活跃用户为两百万，可以使用阿里云的哪一款或几款产品来解决 用户对 视频，图片，音频的大量访问？,A,划重点:来解决用户对视频，图片，音频的大量访问。所以选择 OSS 和 CDNo,1,OSS+CDN,VPC,云盾+云监控,PTS,
single,"除了通过 PUT Object 接口上传文件到 OSS 以外,OSS 还提供了另外一种上传模式 是",C,"除了通过 PUT Object 接口上传文件到 OSS 以外,OSS 还提供了另外一种上传模 ? 式------ Multipart Upload <>",1,Get Object,Put Bucket,Multipart Upload,Head Object,
single,阿里云使用隧道封装技术实现了不同专有网络 VPC 间二层网络隔离。在 VPC 内 的云服务器 ECS 实例之间的三层网络访问控制用 功能实现。,B,三层网络访问控制在阿里云中是通过安全组实现的，,1,交换机,安全组,路由器,路由表,
single,当您通过 Open API 进行阿里云的云服务器 ECS 实例的磁盘挂载的时候，发现不能 成功挂载， 可能是由于 原因引起的。,C,只有在稳定（运行中，已停止）状态才能挂载磁盘，其他状态都不行。,1,磁盘的状态为待挂载,云服务器 ECS 实例的状态为运行中,云服务器 ECS 实例的状态为启动中,云服务器 ECS 实例的状态为已停止,
multiple,云存储是在云计算上衍生发展出来的一个概念，将存储资源池中的存储和数据服务，通 过网络 以统一的接口按需提供给授权用户。云存储具备以下哪些特点？,"A,B,C,D,E","用户虽然需要管理和维护,但是没有必要了解数据的具体节点分布。",1,超大规模:云存储具有相当的规模，单个用户存储的数据可达 TB 级甚至 PB 级,高可扩展性:云存储的规模可以动态伸缩，满足数据规模增长的需要,"高可靠性和高可用性:通过副本复制以及节点故障自动容错等技术,提供了很高的可靠性 和可用 性",按需服务:云存储是一个庞大的资源池，用户可按需申请、使用,透明服务:提供统一的接口，比如 RESTful 接口的形式提供服务，后端存储节点对用户透 明 F. 管理和维护:为了防止出现由意外故障而导致服务终止的现象，用户需要了解数据存储在 不同节 点上的具体分布
single,某企业使用公共云搭建了一个门户网站，目前访问缓慢。为了提升网站的响应速度，又 购置了 多台云服务器，希望新增加的服务器和原有服务器一起对外提供服务，需要哪种技术 配合实现这个 方案？,A,"题目中说""希望新增加的服务器和原有服务器一起对外提供服务""的技术，所以选择 把新加的 机器作为负载均衡 SLB 后端的机器一起提供服务，所以选择负载均衡 SLBo",1,负载均衡,VPC（虚拟专用网）服务,CDN（内容分发网络）,容器服务,
single,阿里云的云盾数据风控可以很好地解决 WEB 应用中常见的垃圾注册、刷库等业务 风险识别的 难题，要想使用这项服务首先得进行业务数据的采集，对于 WEB 应用系统，可 以釆用 方式来 釆集信息。,B,数据风控目前只支持在 Web 中插入指定的 JS 代码，其他的暂时还不支持，,1,JavaScript,SDK,JavaScript 和 SDK,HTML5,
multiple,以下哪些存储，数据库类的阿里云产品结合才能满足大多数互联网应用的需求？,"A,B,C",数据存储(OTS)保存客户海量用能数据，满足大数据分析的需求，而不是满足大多数 互联网应 用的需求。,1,OSS 存储服务,ECS 云服务器,RDS 关系型数据库,OTS 结构化数据库,
multiple,"在众多的网络攻击类型中,“SQL 注入”是应用层面临的主要攻击之一。如果用户搭 建在云上的 网站发现 SQL 注入漏洞,可能造成的危害包括 。","A,B,C,D","“SQL 注入”破坏的是用户数据库的数据,数据库数据被破坏可能会导致题目中说的 网页中关 联的数据库数据被篡改，网页数据被篡改,用户根据脚本窃取核心数据，数据库所在 服务器被攻击变 成傀儡主机。但是“SQL 注入”并不会导致云上虛拟机的物理服务器损坏。",1,网页被篡改,数据被篡改,核心数据被窃取,数据库所在服务器被攻击变成傀儡主机,运行云上虚拟机的物理服务器损坏
multiple,Google 在 2003 年到 2006 年期间陆续公布了三篇技术论文，这也逐渐成为云计算发 展的基石。 这三篇论文主要阐述的内容和以下哪几项技术相关？,"A,B,C",Google 在 2003 年到 2006 年公布了关于 GFS、MapReduce 和 BigTable 三篇技 术论文。,1,GFS,BigTable,MapReduce,HBase,
single,阿里云的云服务器 ECS 产品支持的多线 BGP 接入，解决的主要问题是,B,"阿里云多线 BGP(中国电信、联通、移动、教育网等)接入，确保全国用户访问畅通, 提升用户 访问的质量。所以解决的是避免跨运营商的网络访问的速度瓶颈。",1,提升全网内容分发效率,避免跨运营商的网络访问的速度瓶颈,解决网络边界内容缓存的问题,其他都是,
single,防 DDoS 攻击是阿里云的云盾最主要的功能之一，很多网站都曾经受到过不同类型 的 DDoS 攻 击，准确理解 DDoS 对网站做好安全防护至关重要。以下有关 DDoS 攻击 的描述最准确的是？,C,"DDoS 攻击并不是尝试破解服务器密码,窃取机密信息或者是破坏数据库。DDoS 攻击是一种针 对目标系统的恶意网络攻击行为,DDoS 攻击经常会导致被攻击者的业务无 法正常访问，也就是所谓 的拒绝服务。",1,DDoS 攻击的主要目标是数据库,DDoS 攻击通过大量的尝试破解的服务器的登录密码,DDoS 攻击的主要目的是让被攻击的目标服务器无法提供正常的服务，是目前最强大、 最难防御 的网络攻击之一,DDoS 攻击的目的是窃取机密信息,
multiple,"阿里云弹性伸缩(Auto Scaling)的移出策略(RemovalPolicy)是指当需要从伸缩组移出云 服务器 ECS 实例并且有多种选择时，则按该策略选择需要移出的云服务器 ECS 实例。 假设您需要添加 N 台包年包月 ECS 实例加入伸缩组,并且希望这些 ECS 实例不会自动 被移出，那么 您需要做以下哪两个配置？","A,B","题目问的是如何确保自己创建的 N 台 ECS 不被移出,,N 台的添加的 N 台包年包 月的，“最早 伸缩配置对应的实例”意思就是伸缩组会优先移除伸缩配置创建的 ECS 实例， 但是你设置了最小实 例数是 N,所以不会移除你添加的 N 个 ECS 实例。区分一下“最新 创建的实例”(如果作为一级筛选 条件，不区分是用户手工加入的 ECS 实例还是自动创建 的 ECS 实例，直接按最新创建的 ECS 实例进 行移出。)，最早伸缩配置创建的 ECS 实例 (对于用户手工移入的 ECS 实例，自动跳过此条件;如果 与伸缩配置相关联的 ECS 实例已 经全部移出,还要继续移出 ECS 实例时，则在用户手工加入的 ECS 实例中随机选一台。 同时这也是阿里云官方原话",1,将最小实例数(MinSize)设置为 N 或者大于 N,将移出策略的第一条挑选规则设置为“最早伸缩配置对应的实例”,将最大实例数(MaxSize)设置为 N 或者大于 N,将移出策略的第一条挑选规则设置为“最新创建的实例”,
multiple,"某创业团队开发了一款提供“公共图片服务”的互联网应用，主要用途是为电商类网站 提供图 片托管，实现海量小图片存储和全国快速访问,每日平均增加 500Gb 图片文件，访问 PV 每日 3000 万 次。通过自主开发的 API 接口用于文件上传、查询和删除。目前该团 队准备把全部应用迁到阿里云 上，至少应该开通阿里云上的 品。","A,B,C","题目中说了,需要图片托管，所以需要 OSS,需要快速访问，所以需要 CDN,需要""自主 开发的 API 接口用于文件上传、査询和删除""，所以需要 ECS 来部署。没有说到弹性伸 缩(Auto Scaling)的要 求。",1,对像存储 OSS,云服务器 ECS,内容分发网络 CDN,弹性伸缩(Auto Scaling),
multiple,阿里云的云服务器 ECS 产品拥有传统服务器和虚拟主机无法企及的优势。 属 于 云服务器 ECS 产品在服务器容灾备份方面的优势。,"A,C,D",云服务器 ECS 产品默认支持三副本备份的方式，服务器容灾并不需要用户人工数 据备份。,1,每份数据多份副本,需要用户人工制作数据备份,单份数据损坏可在短时间内快速恢复,无需额外的开发，支持自动的磁盘数据备份,
single,"阿里云负载均衡 SLB 可以通过流量分发扩展部署在后端服务器中的应用系统对外 服务的能力， 通过消除单点故障提升应用系统的可用性,必须和阿里云提供的 配合 使 用。",A,负载均衡 SLB 必须和云服务器 ECS 配合使用。,1,云服务器 ECS,云数据库 RDS,专有网络 VPC,云监控,
single,阿里云的云盾 是通过领先的行为收集技术和机器学习模型，解决用户的 WEB 应 用和手机 APP 的账号、活动、支付等关键业务环节存在的欺诈威胁，最终实现 降低企业损失。比如: 帮助客户发现代金券套现行为，恶意刷单行为、恶意注册骗取新用 户奖励的行为等。,B,"数据风控由阿里聚安全提供，是基于阿里大数据计算能力，通过业内领先的风险决策 引擎， 解决企业账号、活动、交在的易等关键业务环节存欺诈威胁,降低企业经济损失。",1,态势感知,数据风控,内容安全（原名:绿网）,加密服务,
single,ECS 外部系统可以通过 API 在请求时传入参数来指定返回的数据格式，默认为,D,API 默认返回是 XML 格式，,1,JSP,HTTP,JSON 格式？,XML,
multiple,下列 属于阿里云的云服务器 ECS 产品相对于传统物理服务器的优势。 A 宽带升降更敏捷,"B,C,D",题目中问的是阿里云云服务器 ECS 和传统的物理服务器的优势，其中云服务器的 系统和传统 服务器的系统内核都是一致的，所以不会存在云服务器可以运行传统物理服务 器不可以运行的应用。,1,无需自建，云服务器启动就自动具备防护 DDoS 攻击的能力,无需额外开发，云服务器支持宕机迁移，可用性更高,云服务器的交付周期短,云服务器可以运行传统物理服务器不可以运行的应用,
single,云计算以多种形式对外提供服务，比如可以提供给消费者处理能力、存储、网络和其 他基本的 计算资源，消费者能够利用这些计算资源部署和运行任意软件，包括操作系统和应 用程序，但不能 管理或控制任何云计算基础设施。这种服务形式被称作,C,"题目中说了:利用这些计算资源部署和运行任意软件，包括操作系统和应用程序，说到 ""计算 资源""了，所以就是提供基础的云计算服务，即基础设施即服务",1,SaaS（软件即服务）,PaaS（平台即服务）,IaaS 僅础设施即服务),DaaS(数据即服务),
multiple,创建阿里云的云服务器 ECS 实例时，要根据您的业务需求进行实例规格和配置的选 择。下列 说法中关于实例选择的描述中正确的包括 o,"A,B,C",云盾的基础防护服务在 ECS 创建完成后自动开通，不需要单独开通。,1,企业级异构计算规格族群可以提供更好的浮点运算性能,实例均为 I/O 优化实例，可以发挥磁盘的更好性能,"如果您要使用 Windows 系统的 ECS 实例部署 Web 环境,建议选择至少 2GB 或更高 内存的实例规 格",需要单独开通云盾的基础防护服务,
multiple,"某企业想使用云服务器 ECS+负载均衡 SLB+弹性伸缩(AutoScaling)的架构搭建一个 企业级的门 户网站，技术负责人对于负载均衡和弹性伸缩配合使用没有经验,于是将他理解 的两种产品配合使用 的一些技术细节列成了一个表单,并请作为架构师的您帮他做一下鉴 别，其中 这些项是正确的。","A,B,D","这个题目比较老，原来不支持负载均衡同时挂载 VPC 和经典网络,现在可以支持 VPC 和经典 网络混挂。",1,创建伸缩组时指定的 SLB 实例必须是已启用状态,创建伸缩组时指定的 SLB 实例的所有配置的监听端口必须开启健康检查,"如果 SLB 实例已挂载了 VPC 类型的 ECS 实例,则不支持在该 SLB 下增加经典网络 类型的 ECS 实例",伸缩组会自动将加入伸缩组的 ECS 实例添加到指定的 SLB 实例当中,创建伸缩组时指定的 SLB 实例必须和该伸缩组在同一个可用区(Zone)
multiple,"您计划基于阿里云的云服务器 ECS 实例搭建一个网站,有可能会影响网站打开速度 的因素包括 O","A,B,C,D",云服务器 ECS 实例的磁盘大小是不会影响到网站的访问速度的。,1,网页内容本身的大小,网络的带宽,是否有大量数据库的操作,是否过多引用了其他网站的内容,云服务器 ECS 实例的磁盘大小
single,用户在阿里云以外的服务器上安装“云安全中心客户端”后，通过 方式与指定 的 阿里云官网帐号关联。,A,安装“云安全中心客户端”后，需要通过管理控制台的 Key 来完成和阿里云官网账号 的关联，,1,在管理控制台生成的安装验证 key,用户帐号 ID,用户的 AccessKey,用户名和密码,
single,您管理的网站部署在阿里云的云服务器 ECS 实例上。您非常担心自己的云服务器 ECS 实例会 遭受来自网络的暴力密码破解。阿里云的 产品提供了检测和防止云 服务 器 ECS 实例遭受暴力密码破解的安全防护功能。,D,,1,对象存储 OSS,云监控,负载均衡 SLB,云安全中心,
single,阿里云负载均衡服务 SLB 支持用户可以同时设置实例维度上的“后端服务器”、监听 维度上 的“虚拟服务器组”和“转发规则”，那么当用户流量经过负载均衡某端口时，关于 SLB 判断流量转 发的顺序，以下说法正确的是 。,A,"注意以下描述的首先和其次的顺序:当用户流量经过负载均衡某端口时，我们首先判 断其是否 能够匹配上某条“转发规则”，如果匹配，则将流量转发到该规则的后端服务器组上; 若不匹配并且 在该监听上设置了虚拟服务器组，那么将流量转发到该虚拟服务器组上;若用 户没有在该监听上设置 虚拟服务器组,即将流量转发到实例级别添加的后端服务器中。",1,先判断其是否能够匹配上某条“转发规则”，如果匹配，则将流量转发到该规则的后端服务 器组上；,"先判 k 该监听上是否设置了虚拟服务器组，如何设置,那么将流量转发到该虚拟服务器组 上；",先判断是否有实例维度上的“后端服务器”，如果存在，那么即将流量转发到实例级别添加 的各 后端服务器中,支持用户同时在这三个维度上的设置，但三者添加的服务器之间有约束关系，所以无需考 虑转发 顺序,
single,"云计算以多种形式对外提供服务，比如提供给消费者的服务是运行在云计算基础设施 上的应用 程序，消费者可以在各种设备上通过瘦客户端界面访问，如浏览器（例如基于 Web 的邮件），不需要 管理或控制任何云计算基础设施，包括网络、服务器、操作系统、存储，甚 至独立的应用能力等等, 仅需要对应用进行有限的、特殊的配置。这种服务形式被称作",A,题目中说了是消费者通过瘦客户端界面访问，提到客户端那就相当于日常使用的软 件，所以 选择 SaaS（软件即服务）。,1,SaaS（软件即服务）,PaaS（平台即服务）,IaaS（基础设施即服务）,DaaS（数据存储即服务）,
single,关于阿里云 CDN 加速域名的“停用”和“删除”，表述正确的是？,D,“停用”该加速域名后，该条加速域名信息仍保留，针对加速域名的请求系统将做自动 回源 处理。,1,停用加速域名会自己停止相关域名的解析,删除加速域名时，被加速域名的解析记录也会同时被自己恢复为加速前的内容,"""停用""该加速域名后，该条加速域名信息仍保留，针对加速域名的请求系统不会再做自动回源处理","""删除""该加速域名后,将删除该加速域名的全部相关记录，对于仅需要暂停使用该加速域名，推荐选择""停用""方式",
single,"某公司很多系统都架构在阿里云上,使用了多个阿里云弹性伸缩(Auto Scaling)的伸缩 组来实现 动态资源管理。现有一台包年包月的云服务器 ECS 实例还未到期，且处于闲置 状态，出于避免资源 浪费的考虑，想把它更好的利用起来。以下说法中正确的是？",A,弹性伸缩是有地域的限制，手动添加的 ECS 必须与伸缩组处于同一个地域。,1,可以把它手工添加到同一个地域(Region)的任意一个伸缩组中去,如果该 ECS 的处理能力很强的话，可以加入到同一个可用区(Zone)的多个伸缩组中去，前 提是 要部署多个应用处理的环境,只能把加到同一个可用区(Zone)的某一个伸缩组中去，前提是它的规格要符合该伸缩组伸 缩配置 规定的规格,只能把加到同一个地域(Region)的某一个伸缩组中去，前提是它的规格要符合该伸缩组伸 缩配置 规定的规格,
multiple,"阿里云弹性伸缩(Auto Scaling),是根据用户的业务需求和策略，自动调整其弹性计算资 源的管理 服务。以下哪些应用场景可以由弹性伸缩实现？","A,B,C",新版本支持垂直扩展了，不过要求是按量付费实例，所以审题时重点注意下。 https://help.aliyun.com/document_detail/209905.htm,1,"用户根据自己的业务需求自动调整其弹性计算资源,在满足业务需求高峰增长时无缝地 增加 ECS 实例数量","用户根据自己的业务需求自动调整其弹性计算资源,在业务需求下降时自动减少 ECS 实例数量以 节约成本","当伸缩组中的某个 ECS 实例发生故障时,弹性伸缩会创建新的 ECS 实例，接管故障 ECS 实例的 计算任务",用户根据自己的业务需求，自动调整期弹性计算资源，在业务需求上升时，自动提高 ECS 的配置,
single,"服务器安全托管是阿里云云盾的一项高级服务，服务内容包括专家人工安全体检、清 除木 马,VIP 技术支持等,此服务是针对阿里云 品提供的。",B,"划重点:服务器安全托管服务,服务器安全托管是由阿里云/阿里云授权安全合作伙伴 为您提供 的针对云上 ECS 主机的安全托管服务。",1,云数据库 RDS,云服务器 ECS,负载均衡 SLB,专有网络 VPC,
multiple,"您可以使用阿里云的云服务器 ECS 实例的内网 IP 进行通信来提升通信效率的同时 还节省流量 费用,以下哪些云产品之间的通信可以通过内网 IP 并不需要其他产品的辅助 直接完成？","A,B,C",不同地域之前的 ECS 不支持通过内网地址互相访问。,1,相同地域的不同的云服务器 ECS 实例之间,相同地域的云服务器 ECS 实例与对象存储 OSS 之间,相同地域的云服务器 ECS 实例与云服务器 RDS 实例之间,不同地域的不同的云服务器 ECS 实例之间,
single,"如果在配置阿里云的负载均衡 SLB 实例的监听时，开启 了“获取真实访问 IP”,针对 7 层服务可以通过 http 头部中的 字段获取来访者真实 IPo",A,在负载均衡 SLB 中，可以通过 X-Forwarded-For 的方式获取访问者真实 IP。,1,X-F orwarded-F or,Authorization,Connection,Etag,
multiple,"某企业采取阿里云负载均衡 SLB 和弹性伸缩(Auto Scaling)配合使用的方案,希望在 拥有良好的稳 定性、可靠性的同时，还能节省运维成本和资源使用成本。由于此前没有相 关的使用经验，他们根 据自己的理解列出了一些应该注意的事项,然后向您咨询意见。作为 阿里云产品专家,您判断出只有 是正确的，在该公司后续的项目建设过程中也逐一 得到 验证。","A,B",,1,负载均衡 SLB 实例必须开启健康检査，否则无法和弹性伸缩一起使用,负载均衡 SLB 实例下的所有的 ECS 实例操作系统一定相同,负载均衡 SLB 实例下的所有后端服务器必须都有相应的伸缩组,负载均衡 SLB 实例下的所有后端服务器的配置必须相同,
single,下列关于 SLB API Servercertificate 的说法错误的是 ？,A,目前使用 UploadServerCertificate 接口一次只能上传一份服务器证书和对应的私钥。,1,一次可以上传多份证书,证书和 PrivateKey 一定要对应,一次只能上传一个 PrivateKey,返回结果为成功或者错误码,
multiple,"您已经基于阿里云 的云服务器 ECS 实例构建好了一个 web 网站并向外提供服务，最 近发现随着访问量的上涨，客户访 问速度有的时候会慢,尤其是页面中的图片和视频，而且 在不同的地域的访问速度也不一致，开始影 响用户体验了。通过 方式可以解决您 碰 到的问题。","A,B","题目中主要是遇到以下两个问题:第一是随着业务量上当客户访问速度慢，所以可以 通过将网 站的图片和视频等静态内容存放到对象存储 OSS 中解决访问速度慢的问题。第 二是不同的地域的访 问速度也不一致,所以可以通过 CDN 服务来解决不同地域的用户访 问速度不同的问题。",1,将网站的图片和视频等静态内容存放到对象存储 OSS 中解决访问速度慢的问题,开通 CDN 服务来解决不同地域的用户访问速度不同的问题,将网站的图片和视频等静态内容存放到 RDS 中解决访问速度慢的问题,将网页中的动态内容存放到 OSS 中解决访问速度慢的问题,
single,关于阿里云 CDN 缓存数 据更新的建议和描述，错误的是 ?,D,"阿里云 CDN 支持对同名更新的实时更新，用户只要做相关配置后，在您不主动提交 请求的时 候,CDN 不会自动去实现刷新请求。 195 网里云内容分发网络 CDN 系统能够实现内容加速的功能，需要智能 DNS 解析的支 持，以下 功 能不是智能 DNS 解析系统具备的。 A. 可以根据不同的访问者 IP 把同一个域名分别解析成不同的 IP 地址 B. 智能 DNS 解析系统具备网页内容缓存的功能，用户首次访问时从源站抓取数据，之后的 请求优 先从缓存中读取 C. 可以根据预先配置好的 IP 段位置信息，将用户请求指向离客户最近的服务器 D. 如果用户在多个机房放置相同的镜象站点，可以让不同的地方客户访问不同的站点，实现 负载 均衡 答案：B 解析：目前智能 DNS 解析是不支持页内容缓存的功能的。",1,"缓存刷新指的是强制将分发节点上缓存的资源标记为过期,当用户再次对该资源发起请 求时,节 点会回源拉取资源，并缓存一份更新后的资源在分发节点","同名更新时,可以从控制台提交刷新请求，或者使用 API,完成主动刷新",同名更新时，如果不主动刷新，只能等待缓存文件到期后才能回源拉取最新的文件,阿里云 CDN 支持对同名更新的实时更新，用户只要做相关配置后，不必主动提交请求，便 可以 实现自动刷新,
single,某大型互联网公司，原来的业务都运行在物理机上，并且有自建的监控和报警系统，最近 准备 把一部分业务迁到阿里云上，并通过云监控来监控云服务器 ECS 实例并设置报警。 用户需要—才能 快速将云监控现有的报警通知对接到自建的报警系统，并在自建的报警 系统中综合处理物理机和云 服务器 ECS 实例的报警信息。,C,题目中需要将阿里云云监控现有的报警通知对接到自建的报警系统，所以可以调用 云监控提 供的査询数据的接口，然后通过自己的程序系统来对相应的指标进行监控报警。 参考链接： https://help.aliyun.eom/document_detail/l01237.html,1,无法实现,·使用云监控提供的事件订阅功能，从消息队列消费报警信息,调用云监控提供的查询数据的接口，定时查询，然后自己写 code 判断指标是否异常,"调用査询旺旺信息的 API,获取发送到旺旺的报警通知",
single,下面哪种镜像可以进行复制？,A,"复制镜像仅适用于自定义镜像。如果您需要复制其他类型的镜像，可先使用镜像创 建实例， 再使用该实例创建自定义镜像。然后,复制该自定义镜像。",1,自定义镜像,公共镜像,镜像市场镜像,共享的镜像,
multiple,在阿里云安全体系中，帐户安全是非常重要的组成部分，在登录阿里云官网时，免费提供 给用 户 安全验证手段。,"A,B,C",题目问的是阿里云官网给用户免费提供的安全验证手段，阿里云不会为每个用户提 供_个 USB KEY,1,用户名密码校验,登录验证码或安全滑块,多因子(虚拟 MFA)认证,为每个用户提供一个 USB KEY,
multiple,"C 公司在传统 IDC 机房有一套应用系统，用了共计 50 多台服务器，运维成本越来越 高,希望迁 到阿里云降低资产拥有成本和运维成本。该系统的硬件包括 30 台 WEB 服务 器、5 台 MySQL 数据库 服务器、5 台文件存储服务器、5 台自建 LVS 负载均衡、5 台数据备份服务器。C 公司要想在系统功能 不损失的前提下上云，应该选用阿里云的— 产品。","A,B,C,E","题目中的系统的硬件分别对应,30 台 WEB 服务器对应云服务器 ECS、5 台 MySQL 数据库服务 器对应云数据库 RDS、5 台文件存储服务器对应对象存储 OSS、5 台自建 LVS 负载均衡对应负载均衡 SLB、5 台数据备份服务器是不需要的，因为 ECS 和 OSS 提供了多重冗余备份。",1,云服务器 ECS,云数据库 RDS,对象存储 OSS,弹性伸缩(Auto Scaling),负载均衡 SLB
single,某阿里云负载均衡 SLB 实例下，后端多台云服务器 ECS 实例配置的权重都一样，但 是实际上 ECS 实例负载却不一样。可能是因为 。,A,负载均衡请求不均衡可能有以下几种原因：1.ECS 实例请求连接数较少。2.不同 ECS 实例的性 能不同导致请求不均衡。3.开启了会话保持功能。4.ECS 健康检査异常。,1,开启了会话保持功能,开启了获取真实 IP 的功能,"ECS 实例在不同的地域(Region),网络延迟不同",釆用的转发规则不同,
single,"当用户想以个人身份向 OSS 发送请求时,需要首先将发送的请求按照 OSS 指定的 格式生成签名 字符串;然后使用 AccessKeySecret 对签名字符串进行加密产生验证码。 OSS 收到请求以后，会通过 AccessKeylD 找到对应的 AccessKeySecret,以同样的方法提 取签名字符串 和验证码,如果计算出来的验证码和提供的一样即认为该请求是有效的;否 则,OSS 将拒绝处理这次请 求，并返回 HTTP 错误状态码是 ？",C,拒绝处理这次请求对应的状态码是:403。,1,错误状态码:405,错误状态码:400,错误状态码:403,错误状态码:500,
multiple,"阿里云对象存储 OSS 是阿里云提供的海量、安全、低成本、高可靠的云存储服务。 OSS 服务 的使用费由“存储费用”、“流量费用”、“API 请求费用”三部分组成。在实际业 务场景中，用户 可以根据实际情况优化使用方式来降低 OSS 的使用成本。以下是某管 理员提出的几项优化建议,您认 为 可以直接降低 OSS 使用成本。","A,B,C,D",OSS 是收费是统一的，不会因为时间的差异而导致相应的费用差异。,1,如果 OSS 服务产生的费用中外网流量费用占比较大，可以结合阿里云 CDN 服务来降低 OSS 的流 量费用,如果云服务器 ECS 和 OSS 在同一地域，可以使用 OSS 内网地址通信，降低流量费用,如果业务的访问量比较平稳，存储空间和外网流量可预测，可以购买包年包月的资源包来 降低 存储和流量两项费用,"定期删除已经过期不用的文件，降低占用的 OSS 存储空间,节约存储费用","对 OSS 的大批量操作尽量安排在晚上,夜间的 API 请求费用更低"
single,在阿里云的云盾的网络防护体系中，有一种服务默认为所有客户开通，可提供最高 5G 以下的 小规模 DDoS 防御功能。该项服务的名称是 。,C,云盾的 DDoS 基础防护提供免费的 5G 以下的防 DDoS 攻击能力。,1,态势感知,WAF 防火墙,DDoS 基础防护,DDoS 高防 IP,
single,阿里云的云盾 DDoS 高防 IP 是阿里云在“基础 DDoS 防护”之上提供的高级防护产 品，支持 四层和七层的抗攻击能力，以下关于云盾 DDoS 高防 IP 的功能描述错误的是,C,调整 DDoS 防护阈值并不会导致服务的中断。,1,"防护多种 DDoS 类型攻击,包括但不限于以下攻击类型 ICMP Flood、UDP Flood. TCP Flood、SYN Flood、ACK Flood 等",支持弹性按天计费,DDoS 防护阈值弹性调整，您可以随时升级更高级别的防护，调整过程服务中断 5 分钟,提供实时精准的流量报表及攻击详情，让您及时准确获得当前服务详情,
single,"您基于阿里 云的专有网络 VPC 环境构建应用，只想购买一个的弹性 IP(EIP),但是该 VPC 内有多台云服务器 ECS 实例需要对外提供服务时,可以釆用以下 方式解 决该 问题。",B,"因为只有一个 EIP,在没有其他设备辅助的情况下，只能选择反向代理方式即通过 A 代理",1,"不用任何操作，某台云服务器 ECS 实例绑定 EIP 之后,外网可以直接访问该 VPC 内的 所有云服 务器 ECS 实例",可以通过端口映射的方式，先将 EIP 绑定到某台云服务器 ECS 实例 A 上，并将实例 A 的端口映 射到其他的云服务器 ECS 实例上,在所有云服务器 ECS 实例所在的安全组增加一条策略，允许所有外网的访问流量,其他的选项都不对,
multiple,"在对阿里云的云服务器 ECS 实例进行续费操作时还可以做一些云 服务器变配的操 作,可以实现的操作包括 。","A,B,C","修改配置操作完成后，您必须通管理控制台重启实例或使用 Rebootinstance 接口重 启实例，新 配置才能生效。而非操作系统内重启。 207 网里云对象存储服务(Object Storage Service,简称 OSS),是阿里云提供的海量、安全、 低成本、高 可靠的云存储服务。用户操作 OSS 的基本数据单元是什么？ A. Object B. Bucket C. Service D. 安全组 答案：A 解析：OSS 的基本数据单元是对象/文件(Object)。",1,将云服务器 ECS 实例的 CPU 规格从 8 核降到 4 核,将云服务器 ECS 实例的内存空间从 4GB 提升到 8GB,将云服务器 ECS 实例的固定带宽模式，变为按量计费方式,在实例操作系统内重启后，新配置会立即生效,
single,"由于业务的流量增长,您需要对您的阿里云的包年包月的云服务 ECS 实例的带宽进 行临时升级 操作，以下的描述中错误的是—",D,ECS 的带宽是带宽支持临时升级操作，但是临时升级只能升级到云服务的有效期的 结束时间， 所以在升级之后仍然按照升级之前的带宽进行续费。,1,可以为 ECS 实例设定当月内指定时间段内的带宽临时增加,可以多次叠加操作临时升级操作,"可以按天进行升级,升级后如果云服务器 ECS 实例下个月进行续费，仍然按照升级前的 基础带宽 进行续费","支持按天升说,升级后如果云服务器 ECS 实例下个月进行续费，按照升级后的带宽进行 续费",
